scene_id,OID,lng,lat,date,image_path,filename,image_url
S0074,4695,106.549211,29.610185,201710,images/4695_106.549211_29.610185_201710.jpg,4695_106.549211_29.610185_201710.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/4695_106.549211_29.610185_201710.jpg
S0075,37515,106.444509,29.501154,201906,images/37515_106.444509_29.501154_201906.jpg,37515_106.444509_29.501154_201906.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/37515_106.444509_29.501154_201906.jpg
S0076,46571,106.514926,29.603271,201710,images/46571_106.514926_29.603271_201710.jpg,46571_106.514926_29.603271_201710.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/46571_106.514926_29.603271_201710.jpg
S0077,56067,106.486105,29.480602,202210,images/56067_106.486105_29.480602_202210.jpg,56067_106.486105_29.480602_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/56067_106.486105_29.480602_202210.jpg
S0078,57083,106.511539,29.578409,202210,images/57083_106.511539_29.578409_202210.jpg,57083_106.511539_29.578409_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/57083_106.511539_29.578409_202210.jpg
S0079,37897,106.445617,29.549625,201711,images/37897_106.445617_29.549625_201711.jpg,37897_106.445617_29.549625_201711.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/37897_106.445617_29.549625_201711.jpg
S0080,23203,106.51614,29.47607,202210,images/23203_106.51614_29.47607_202210.jpg,23203_106.51614_29.47607_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/23203_106.51614_29.47607_202210.jpg
S0081,38148,106.493457,29.5129,201610,images/38148_106.493457_29.5129_201610.jpg,38148_106.493457_29.5129_201610.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/38148_106.493457_29.5129_201610.jpg
S0082,18263,106.497597,29.583865,201610,images/18263_106.497597_29.583865_201610.jpg,18263_106.497597_29.583865_201610.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/18263_106.497597_29.583865_201610.jpg
S0083,30621,106.562003,29.577063,202210,images/30621_106.562003_29.577063_202210.jpg,30621_106.562003_29.577063_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/30621_106.562003_29.577063_202210.jpg
S0084,12954,106.519691,29.564487,201610,images/12954_106.519691_29.564487_201610.jpg,12954_106.519691_29.564487_201610.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/12954_106.519691_29.564487_201610.jpg
S0085,40486,106.558245,29.579265,201610,images/40486_106.558245_29.579265_201610.jpg,40486_106.558245_29.579265_201610.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/40486_106.558245_29.579265_201610.jpg
S0086,57856,106.554825,29.503741,202210,images/57856_106.554825_29.503741_202210.jpg,57856_106.554825_29.503741_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/57856_106.554825_29.503741_202210.jpg
S0087,17688,106.506923,29.515941,201711,images/17688_106.506923_29.515941_201711.jpg,17688_106.506923_29.515941_201711.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/17688_106.506923_29.515941_201711.jpg
S0088,6528,106.472065,29.580875,201711,images/6528_106.472065_29.580875_201711.jpg,6528_106.472065_29.580875_201711.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/6528_106.472065_29.580875_201711.jpg
S0089,55038,106.593152,29.575794,202210,images/55038_106.593152_29.575794_202210.jpg,55038_106.593152_29.575794_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/55038_106.593152_29.575794_202210.jpg
S0090,25068,106.543135,29.561325,202210,images/25068_106.543135_29.561325_202210.jpg,25068_106.543135_29.561325_202210.jpg,https://pub-038359eb657f4df5960d0f9964bb67a2.r2.dev/25068_106.543135_29.561325_202210.jpg
